PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S,AgeGroup
1,0,3,22.0,1,0,7.25,1,0,1,Adult
2,1,1,38.0,1,0,71.2833,0,0,0,Adult
3,1,3,26.0,0,0,7.925,0,0,1,Adult
4,1,1,35.0,1,0,53.1,0,0,1,Adult
5,0,3,35.0,0,0,8.05,1,0,1,Adult
7,0,1,54.0,0,0,51.8625,1,0,1,Adult
8,0,3,2.0,3,1,21.075,1,0,1,Minor
9,1,3,27.0,0,2,11.1333,0,0,1,Adult
10,1,2,14.0,1,0,30.0708,0,0,0,Minor
11,1,3,4.0,1,1,16.7,0,0,1,Minor
12,1,1,58.0,0,0,26.55,0,0,1,Adult
13,0,3,20.0,0,0,8.05,1,0,1,Adult
14,0,3,39.0,1,5,31.275,1,0,1,Adult
15,0,3,14.0,0,0,7.8542,0,0,1,Minor
16,1,2,55.0,0,0,16.0,0,0,1,Adult
17,0,3,2.0,4,1,29.125,1,1,0,Minor
19,0,3,31.0,1,0,18.0,0,0,1,Adult
21,0,2,35.0,0,0,26.0,1,0,1,Adult
22,1,2,34.0,0,0,13.0,1,0,1,Adult
23,1,3,15.0,0,0,8.0292,0,1,0,Minor
24,1,1,28.0,0,0,35.5,1,0,1,Adult
25,0,3,8.0,3,1,21.075,0,0,1,Minor
26,1,3,38.0,1,5,31.3875,0,0,1,Adult
28,0,1,19.0,3,2,34.69451400560218,1,0,1,Adult
31,0,1,40.0,0,0,27.7208,1,0,0,Adult
34,0,2,65.0,0,0,10.5,1,0,1,Senior
35,0,1,28.0,1,0,34.69451400560218,1,0,0,Adult
36,0,1,42.0,1,0,52.0,1,0,1,Adult
38,0,3,21.0,0,0,8.05,1,0,1,Adult
39,0,3,18.0,2,0,18.0,0,0,1,Minor
40,1,3,14.0,1,0,11.2417,0,0,0,Minor
41,0,3,40.0,1,0,9.475,0,0,1,Adult
42,0,2,27.0,1,0,21.0,0,0,1,Adult
44,1,2,3.0,1,2,41.5792,0,0,0,Minor
45,1,3,19.0,0,0,7.8792,0,1,0,Adult
50,0,3,18.0,1,0,17.8,0,0,1,Minor
51,0,3,7.0,4,1,39.6875,1,0,1,Minor
52,0,3,21.0,0,0,7.8,1,0,1,Adult
53,1,1,49.0,1,0,34.69451400560218,0,0,0,Adult
54,1,2,29.0,1,0,26.0,0,0,1,Adult
55,0,1,65.0,0,1,61.9792,1,0,0,Senior
57,1,2,21.0,0,0,10.5,0,0,1,Adult
58,0,3,28.5,0,0,7.2292,1,0,0,Adult
59,1,2,5.0,1,2,27.75,0,0,1,Minor
60,0,3,11.0,5,2,46.9,1,0,1,Minor
61,0,3,22.0,0,0,7.2292,1,0,0,Adult
62,1,1,38.0,0,0,34.69451400560218,0,0,1,Adult
63,0,1,45.0,1,0,34.69451400560218,1,0,1,Adult
64,0,3,4.0,3,2,27.9,1,0,1,Minor
67,1,2,29.0,0,0,10.5,0,0,1,Adult
68,0,3,19.0,0,0,8.1583,1,0,1,Adult
69,1,3,17.0,4,2,7.925,0,0,1,Minor
70,0,3,26.0,2,0,8.6625,1,0,1,Adult
71,0,2,32.0,0,0,10.5,1,0,1,Adult
72,0,3,16.0,5,2,46.9,0,0,1,Minor
73,0,2,21.0,0,0,34.69451400560218,1,0,1,Adult
74,0,3,26.0,1,0,14.4542,1,0,0,Adult
75,1,3,32.0,0,0,56.4958,1,0,1,Adult
76,0,3,25.0,0,0,7.65,1,0,1,Adult
79,1,2,0.83,0,2,29.0,1,0,1,Minor
80,1,3,30.0,0,0,12.475,0,0,1,Adult
81,0,3,22.0,0,0,9.0,1,0,1,Adult
82,1,3,29.0,0,0,9.5,1,0,1,Adult
84,0,1,28.0,0,0,47.1,1,0,1,Adult
85,1,2,17.0,0,0,10.5,0,0,1,Minor
86,1,3,33.0,3,0,15.85,0,0,1,Adult
87,0,3,16.0,1,3,34.375,1,0,1,Minor
89,1,1,23.0,3,2,34.69451400560218,0,0,1,Adult
90,0,3,24.0,0,0,8.05,1,0,1,Adult
91,0,3,29.0,0,0,8.05,1,0,1,Adult
92,0,3,20.0,0,0,7.8542,1,0,1,Adult
93,0,1,46.0,1,0,61.175,1,0,1,Adult
94,0,3,26.0,1,2,20.575,1,0,1,Adult
95,0,3,59.0,0,0,7.25,1,0,1,Adult
97,0,1,65.0,0,0,34.6542,1,0,0,Senior
98,1,1,23.0,0,1,63.3583,1,0,0,Adult
99,1,2,34.0,0,1,23.0,0,0,1,Adult
